ID,Name,Work,AGE,SEX,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,SALARY,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
569520,N1,CTU,65+,female,majority,0-9y,high school,upper class,0.629027313918201,569520.0,1.0,after 2015,0.0,1.0,10238.0,12000.0,sedan,0.0,0,0,0
750365,N2,CTU,16-25,male,majority,0-9y,none,poverty,0.357757117018462,750365.0,0.0,before 2015,0.0,0.0,10238.0,16000.0,sedan,0.0,0,0,1
199901,N3,CTU,16-25,female,majority,0-9y,high school,working class,0.493145785218198,199901.0,1.0,before 2015,0.0,0.0,10238.0,11000.0,sedan,0.0,0,0,0
478866,N4,CTU,16-25,male,majority,0-9y,university,working class,0.206012850732455,478866.0,1.0,before 2015,0.0,1.0,32765.0,11000.0,sedan,0.0,0,0,0
731664,N5,CTU,26-39,male,majority,10-19y,none,working class,0.388365888157218,731664.0,1.0,before 2015,0.0,0.0,32765.0,12000.0,sedan,2.0,0,1,1
877557,N6,CTU,40-64,female,majority,20-29y,high school,upper class,0.619127372584738,877557.0,1.0,after 2015,0.0,1.0,10238.0,13000.0,sedan,3.0,0,3,0
930134,N7,CTU,65+,male,majority,30y+,high school,upper class,0.492943550219534,930134.0,0.0,after 2015,1.0,1.0,10238.0,13000.0,sedan,7.0,0,3,0
461006,N8,CTU,26-39,female,majority,0-9y,university,working class,0.468689297434465,461006.0,0.0,after 2015,0.0,1.0,10238.0,14000.0,sedan,0.0,0,0,1
68366,N9,CTU,40-64,female,majority,20-29y,university,working class,0.521814936297106,68366.0,0.0,before 2015,1.0,0.0,10238.0,13000.0,sedan,0.0,0,0,0
445911,N10,CTU,40-64,female,majority,0-9y,high school,upper class,0.561531031938364,445911.0,1.0,before 2015,0.0,1.0,32765.0,11000.0,sedan,0.0,0,0,1
275820,N11,CTU,65+,male,majority,30y+,high school,upper class,0.620361264012602,275820.0,1.0,after 2015,1.0,1.0,10238.0,10000.0,sedan,6.0,2,7,0
521399,N12,CTU,65+,female,majority,30y+,high school,upper class,0.729830881559394,521399.0,1.0,after 2015,1.0,0.0,32765.0,12000.0,sedan,4.0,0,0,0
429728,N13,CTU,40-64,male,majority,20-29y,high school,upper class,0.637044743590244,429728.0,1.0,before 2015,1.0,1.0,10238.0,8000.0,sedan,4.0,1,2,0
569640,N14,CTU,16-25,female,majority,0-9y,university,upper class,0.59125997174597,569640.0,1.0,before 2015,0.0,1.0,10238.0,,sedan,0.0,0,0,0
980181,N15,CTU,26-39,male,majority,10-19y,high school,middle class,0.461567963043944,980181.0,1.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,0.0,2,1,0
906223,N16,CTU,26-39,female,majority,0-9y,high school,upper class,0.762797941081613,906223.0,0.0,after 2015,1.0,0.0,10238.0,,sedan,0.0,0,0,0
517747,N17,CTU,65+,male,majority,30y+,university,upper class,0.796174846245698,517747.0,1.0,before 2015,1.0,1.0,32765.0,,sedan,10.0,2,1,0
24851,N18,CTU,16-25,male,majority,0-9y,none,poverty,,24851.0,0.0,before 2015,1.0,0.0,32765.0,12000.0,sedan,0.0,0,0,1
104086,N19,CTU,26-39,female,majority,0-9y,university,upper class,0.680594279507338,104086.0,1.0,before 2015,0.0,1.0,32765.0,,sedan,0.0,0,0,1
240658,N20,CTU,16-25,female,majority,0-9y,high school,working class,0.417713981623118,240658.0,1.0,before 2015,0.0,1.0,10238.0,18000.0,sedan,0.0,0,0,1
484399,N21,CTU,16-25,female,majority,0-9y,high school,working class,0.409513530651606,484399.0,0.0,before 2015,0.0,0.0,10238.0,17000.0,sedan,0.0,0,0,1
912828,N22,CTU,16-25,male,majority,0-9y,high school,middle class,0.553260053195238,912828.0,1.0,after 2015,1.0,1.0,32765.0,8000.0,sedan,0.0,0,0,1
892754,N23,CTU,40-64,male,majority,20-29y,none,poverty,0.330950261858189,892754.0,1.0,before 2015,1.0,1.0,10238.0,13000.0,sedan,3.0,1,1,0
217,N24,CTU,16-25,male,majority,0-9y,none,poverty,,217.0,0.0,before 2015,0.0,0.0,10238.0,17000.0,sedan,0.0,0,0,0
633896,N25,CTU,65+,male,majority,30y+,high school,upper class,0.500630660442716,,1.0,before 2015,1.0,1.0,32765.0,7000.0,sedan,13.0,2,3,0
193110,N26,CTU,26-39,female,majority,10-19y,university,middle class,0.551970181363628,,1.0,before 2015,1.0,0.0,10238.0,14000.0,sports car,0.0,0,0,0
98515,N27,CTU,40-64,male,majority,10-19y,high school,middle class,0.626996049738665,,1.0,before 2015,0.0,0.0,10238.0,13000.0,sedan,1.0,1,0,0
165623,N28,CTU,26-39,male,majority,10-19y,none,poverty,0.294797480771996,,1.0,before 2015,1.0,0.0,10238.0,15000.0,sedan,0.0,0,1,0
493590,N29,CTU,26-39,male,majority,10-19y,university,middle class,0.551950495261839,,0.0,after 2015,0.0,0.0,10238.0,17000.0,sedan,0.0,0,1,0
389792,N30,CTU,65+,male,majority,0-9y,university,upper class,0.649820471216227,,1.0,after 2015,1.0,1.0,32765.0,9000.0,sedan,0.0,0,0,1
642614,N31,CTU,40-64,male,majority,20-29y,high school,middle class,0.521804434639763,,1.0,after 2015,11.0,1.0,92101.0,7000.0,sedan,2.0,0,1,0
951465,N32,CTU,65+,female,majority,30y+,university,upper class,0.701268324060419,,1.0,before 2015,1.0,1.0,10238.0,10000.0,sedan,3.0,1,1,0
496987,N33,CTU,16-25,male,majority,0-9y,none,poverty,0.171244028821321,,1.0,before 2015,1.0,1.0,10238.0,9000.0,sedan,0.0,0,0,0
732437,N34,CTU,16-25,male,majority,0-9y,none,poverty,0.318441997212417,,1.0,before 2015,0.0,1.0,32765.0,10000.0,sedan,0.0,0,0,1
146897,N35,CTU,26-39,female,majority,0-9y,high school,middle class,0.604684269671555,,1.0,before 2015,1.0,1.0,21217.0,11000.0,sedan,0.0,0,0,1
316173,N36,CTU,16-25,male,majority,0-9y,university,working class,0.504994852644037,,0.0,after 2015,0.0,0.0,32765.0,8000.0,sedan,0.0,0,0,1
9013,N37,CTU,26-39,male,majority,10-19y,high school,working class,0.625146635281621,,1.0,before 2015,0.0,1.0,10238.0,17000.0,sedan,3.0,0,2,0
511757,N38,CTU,40-64,female,majority,10-19y,none,middle class,,,1.0,before 2015,1.0,1.0,10238.0,11000.0,sedan,2.0,0,1,0
429947,N39,CTU,65+,male,majority,30y+,university,upper class,,,0.0,after 2015,0.0,1000.0,10238.0,12000.0,sports car,6.0,0,5,0
485660,N40,CTU,40-64,male,majority,10-19y,university,upper class,0.578130587321203,,1.0,before 2015,0.0,1.0,92101.0,14000.0,sedan,1.0,0,1,0
80496,N41,CTU,65+,male,majority,30y+,high school,upper class,0.705454290213705,,1.0,before 2015,1.0,1.0,10238.0,10000.0,sedan,5.0,1,3,0
478336,N42,CTU,40-64,male,majority,20-29y,university,upper class,0.659525490587594,,1.0,after 2015,0.0,1.0,10238.0,16000.0,sedan,4.0,0,2,0
