AGE,SEX,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
65+,female,majority,0-9y,high school,upper class,0.629027313918201,1.0,after 2015,0.0,1.0,10238.0,12000.0,sedan,0.0,0,0,0
16-25,male,majority,0-9y,none,poverty,0.357757117018462,0.0,before 2015,0.0,0.0,10238.0,16000.0,sedan,0.0,0,0,1
16-25,female,majority,0-9y,high school,working class,0.493145785218198,1.0,before 2015,0.0,0.0,10238.0,11000.0,sedan,0.0,0,0,0
16-25,male,majority,0-9y,university,working class,0.206012850732455,1.0,before 2015,0.0,1.0,32765.0,11000.0,sedan,0.0,0,0,0
26-39,male,majority,10-19y,none,working class,0.388365888157218,1.0,before 2015,0.0,0.0,32765.0,12000.0,sedan,2.0,0,1,1
40-64,female,majority,20-29y,high school,upper class,0.619127372584738,1.0,after 2015,0.0,1.0,10238.0,13000.0,sedan,3.0,0,3,0
65+,male,majority,30y+,high school,upper class,0.492943550219534,0.0,after 2015,1.0,1.0,10238.0,13000.0,sedan,7.0,0,3,0
26-39,female,majority,0-9y,university,working class,0.468689297434465,0.0,after 2015,0.0,1.0,10238.0,14000.0,sedan,0.0,0,0,1
40-64,female,majority,20-29y,university,working class,0.521814936297106,0.0,before 2015,1.0,0.0,10238.0,13000.0,sedan,0.0,0,0,0
40-64,female,majority,0-9y,high school,upper class,0.561531031938364,1.0,before 2015,0.0,1.0,32765.0,11000.0,sedan,0.0,0,0,1
65+,male,majority,30y+,high school,upper class,0.620361264012602,1.0,after 2015,1.0,1.0,10238.0,10000.0,sedan,6.0,2,7,0
65+,female,majority,30y+,high school,upper class,0.729830881559394,1.0,after 2015,1.0,0.0,32765.0,12000.0,sedan,4.0,0,0,0
40-64,male,majority,20-29y,high school,upper class,0.637044743590244,1.0,before 2015,1.0,1.0,10238.0,8000.0,sedan,4.0,1,2,0
16-25,female,majority,0-9y,university,upper class,0.59125997174597,1.0,before 2015,0.0,1.0,10238.0,12000.0,sedan,0.0,0,0,0
26-39,male,majority,10-19y,high school,middle class,0.461567963043944,1.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,0.0,2,1,0
26-39,female,majority,0-9y,high school,upper class,0.762797941081613,0.0,after 2015,1.0,0.0,10238.0,12000.0,sedan,0.0,0,0,0
65+,male,majority,30y+,university,upper class,0.796174846245698,1.0,before 2015,1.0,1.0,32765.0,12000.0,sedan,10.0,2,1,0
16-25,male,majority,0-9y,none,poverty,0.3499147461715375,0.0,before 2015,1.0,0.0,32765.0,12000.0,sedan,0.0,0,0,1
26-39,female,majority,0-9y,university,upper class,0.680594279507338,1.0,before 2015,0.0,1.0,32765.0,12000.0,sedan,0.0,0,0,1
16-25,female,majority,0-9y,high school,working class,0.417713981623118,1.0,before 2015,0.0,1.0,10238.0,18000.0,sedan,0.0,0,0,1
