AGE,SEX,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
1,1,0,0,1,3,0.37439360631146,0.0,1,0.0,0.0,32765.0,11000.0,0,0.0,0,0,1
0,1,0,0,0,1,0.3708472704797,0.0,1,0.0,1.0,10238.0,12000.0,0,0.0,0,0,1
1,0,0,1,0,1,0.375955417065363,0.0,1,0.0,1.0,10238.0,12000.0,0,0.0,0,1,0
1,1,0,1,2,3,0.508639579195866,0.0,1,1.0,0.0,92101.0,15000.0,0,1.0,1,0,1
0,0,0,0,1,1,0.409103097693152,0.0,1,0.0,0.0,10238.0,18000.0,0,0.0,0,0,1
3,0,0,3,2,2,0.661636238489701,1.0,1,1.0,1.0,10238.0,13000.0,0,3.0,1,2,0
1,1,0,1,2,2,0.488384079865885,1.0,1,1.0,1.0,10238.0,12000.0,0,0.0,0,1,0
1,0,0,1,1,1,0.398223637507756,1.0,1,0.0,1.0,10238.0,9000.0,0,1.0,0,6,0
0,0,0,0,1,3,0.431242179025551,0.0,1,0.0,0.0,10238.0,14000.0,0,0.0,0,0,1
3,1,0,2,2,2,0.416935044130106,1.0,1,0.0,1.0,10238.0,13000.0,0,5.0,1,5,0
3,0,0,1,0,2,0.430980325123681,0.0,0,1.0,1.0,10238.0,11000.0,0,0.0,0,2,0
3,0,0,0,0,2,0.609543198940957,1.0,1,1.0,1.0,10238.0,10000.0,0,0.0,0,0,1
2,0,0,2,0,0,0.58830100908163,1.0,1,0.0,1.0,10238.0,12000.0,0,1.0,2,2,0
0,0,1,0,0,1,0.430172518832418,0.0,1,0.0,0.0,10238.0,14000.0,1,0.0,0,0,1
2,0,0,0,0,2,0.46800457821147,1.0,1,1.0,1.0,32765.0,7000.0,0,0.0,0,0,1
2,1,0,1,0,2,0.287715332261621,1.0,0,0.0,1.0,32765.0,11000.0,0,2.0,2,2,1
3,0,0,0,0,2,0.647540892547064,1.0,0,0.0,1.0,10238.0,12000.0,0,0.0,0,0,0
1,1,0,1,2,2,0.63585107068878,1.0,0,1.0,1.0,10238.0,9000.0,0,1.0,0,2,0
2,1,0,0,2,2,0.697094548722475,1.0,0,1.0,1.0,10238.0,10000.0,0,0.0,0,0,0
1,1,0,1,2,2,0.731950222982747,1.0,0,1.0,1.0,92101.0,10000.0,0,4.0,0,1,0
3,1,0,2,2,2,0.636650996136306,1.0,0,0.0,1.0,10238.0,12000.0,0,3.0,0,1,0
0,0,0,0,1,1,0.3499147461715375,0.0,1,0.0,0.0,10238.0,13000.0,0,0.0,0,0,1
2,0,0,2,2,3,0.472214139981671,1.0,1,0.0,1.0,32765.0,10000.0,0,5.0,0,0,0
2,0,0,0,1,0,0.612875984278244,1.0,1,1.0,1.0,10238.0,14000.0,0,0.0,0,0,0
1,1,0,0,1,0,0.560860224164374,0.0,1,1.0,0.0,10238.0,15000.0,0,0.0,0,0,1
2,0,0,2,2,0,0.447184292124916,1.0,1,0.0,0.0,10238.0,16000.0,0,1.0,1,2,1
1,0,1,1,0,1,0.314845676505099,0.0,1,0.0,0.0,32765.0,10000.0,0,1.0,1,1,0
0,1,0,0,1,1,0.442071293976176,0.0,1,1.0,0.0,10238.0,11000.0,0,0.0,0,0,1
2,0,0,2,2,0,0.491318560565624,0.0,0,1.0,1.0,10238.0,11000.0,0,3.0,0,3,0
